0,District-Wide Gap Closing Measures
1,Budget Reductions - Instructional & Instructional Support
2,Budget Reductions - Pupil & Family Support
3,Budget Reductions - Operating Support
4,Budget Reductions - Non District Operated Schools
5,Budget Reductions - Administration
