0, District Operated Schools - Instructional Support
1,Professional Development
2,Partnership Schools - EMOs -- Additional Payments
3,Academic Division Offices
4,Multiple Pathways to Graduation Office
5,Educational Technology
6,Alternative Education Academic Division
7,Supplementary Principals and Assistant Principals
8,Central Book Allotment
9,Hospital - Homebound Instruction
10,Other Instructional Support
