0,Non-District Operated Schools
1,Renaissance Charters
2,All Other Philadelphia Charters
3,Non-Philadelphia Charters - Cyber Charters
4,Charter Schools - Transportation
5,Education of Students in Institutional Placements
6,Services to Non-Public Schools -- Regular
7,Services to Non-Public Schools -- Transportation
