0, District Operated Schools - Pupil - Family Support 
1,Counselors and Related Positions
2,School Health - Nurses
3,Parent & Community Support
4,Psychologists
5,Athletics - Sports - Health - Safety and Physical Education
6,Librarians
7,Extra Curricular Activities - Clubs
8,English Language Learners -- Support Services
